"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
170,"USCENTCOM CITS F5 Engineer","Northern Technologies Group, Inc.","Tampa, FL 33621 
(MacDill AFB Area area)",,"? Implement security policies on F5 platforms, including Web Application Firewall (WAF) configurations and DDoS protection, mitigating risks and fortifying the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=21db0c03475b3ddf&bb=QBFpm8E1yIVoWdPgrFPv9Fyq4LoGMY-o4Mpwld5_Ecuz5qgn2UV-BFWObFp8e7ruRVqVjUAjkPV8ri2sp3cewNKWbCfVjQSaXgZuzo6-zVsWLgJDGyy-3_kQmv4aIpE_&xkcb=SoD267M3_Po2MOwnAB0PbzkdCdPP&fccid=483cd10b27b11aa0&vjs=3"
171,"Lead, Systems Engineer - Cyber Effects (Active TS/SCI Clearance Required)","L3Harris Technologies","Palm Bay, FL",,"As you develop operational CONOPS, you will work with creative, innovative, and collaborative team of hardware and software engineers to analyze and develop…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4552315d3c0fe87b&bb=QBFpm8E1yIVoWdPgrFPv9DAPhrByyxlao5fxjR05pHhyb82yr823sK9g66aB0dyhpFMXYRnPd7uQhPAmuwWzd5kRGBeqb2JdCZDZK14ofN_dNHQ9Ije5CzRRC2ZKxSrY&xkcb=SoBC67M3_Po2MOwnAB0ObzkdCdPP&fccid=6c6be4ac01722b08&vjs=3"
172,"Web Application Firewall Engineer","Deloitte","Miami, FL",,"Good understanding of information security principles, and security policy enforcement.
Develop scalable security management tools and processes.","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=3e46a0dc8932a30a&bb=QBFpm8E1yIVoWdPgrFPv9FwEGdOLBRThK7DhPix8tzCMSbkFeHylFt6CFZeiPm_Ii6qJwTVByT9Vh0Iqj5hxAdeNh8GSJ8ZPcTCtsmEiyukZ2u6XiCrIug%3D%3D&xkcb=SoDf67M3_Po2MOwnAB0NbzkdCdPP&fccid=9e215d88a6b33622&vjs=3"
173,"Senior Vice President, Identity and Access Management Engineer","BNY Mellon","Lake Mary, FL",,"Senior Vice President, Identity and Access Management Engineer.
At BNY, our culture empowers you to grow and succeed.
This is what #LifeAtBNY is all about.","Employer
Active 9 days ago","https://www.indeed.com/rc/clk?jk=a33aae679b8d382c&bb=QBFpm8E1yIVoWdPgrFPv9OyLN0Ax3wB5tuEXG9Oa-pjYhUJEPm8MWKP_f1yzOulElTHkvTwjrLwLa5nstgFqnDwMUtoAqnNzpmybYsVDcdY3ORN7uO6wHA%3D%3D&xkcb=SoBr67M3_Po2MOwnAB0MbzkdCdPP&fccid=b4048be2884af072&vjs=3"
174,"Senior Principal Cyber Engineer","Raytheon","Indialantic, FL 32903","$118,000 - $246,000 a year","As a Senior Principal Cyber Engineer supporting the CODEX Services group, you will contribute to one or more product security programs in collaboration with…","Posted
Posted 28 days ago","https://www.indeed.com/rc/clk?jk=5b52672f4fa0f367&bb=QBFpm8E1yIVoWdPgrFPv9HlatLdcDnX6ayE0LISWPxhhYUJAdrrqsykqs0WIvAB3exiN16iLvQf_lvi43m3Pu9gKgggaXymy5N76jlKZONQNRFFq-uTBFw%3D%3D&xkcb=SoCC67M3_Po2MOwnAB0DbzkdCdPP&fccid=aa53b551f9df0210&vjs=3"
175,"Senior Cyber Technology Engineer","BNY Mellon","Lake Mary, FL",,"10+ years of experience in information security or related technology experience required, experience in the securities or financial services industry is a plus…","Posted
Posted 16 days ago","https://www.indeed.com/rc/clk?jk=0c7a3dcdcc8a98a2&bb=QBFpm8E1yIVoWdPgrFPv9G06ow3mqvEo-EJ5MYdDP24129DgL31PLWGSnBiiLKAwBU4q58lranxPgXT6Rvdb6Z3VN-Sail7qhbuJs6trsLAxPByAM2tFGQ%3D%3D&xkcb=SoA267M3_Po2MOwnAB0CbzkdCdPP&fccid=b4048be2884af072&vjs=3"
176,"SITEC - Network Engineer - Security (SR) - MacDill AFB, Florida","Peraton","Macdill AFB, FL","$86,000 - $138,000 a year","DoD security clearance at the TS/SCI level is required .
Peraton is a next-generation national security company that drives missions of consequence spanning the…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=6ddbc890ff548627&bb=QBFpm8E1yIVoWdPgrFPv9G06ow3mqvEo92j2RA9EYyTdGezm9y_-NwTU5zvHQutFI4-o25ABP8YCFE2bnzi-HdZ8Hb56DIZDUK8uavq7lsVdam7k-trkf8K4gKponIrdnt6szD3YlJ4%3D&xkcb=SoCr67M3_Po2MOwnAB0BbzkdCdPP&fccid=7dc8be9efe945d3a&vjs=3"
177,"Senior Cloud Security & Automation Engineer","BNY Mellon","Lake Mary, FL",,"Experience with cyber security related processes and tooling (e.g., Vulnerability management, IAM).
Experience in implementing security controls in CI/CD…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8cf29929b8d084ad&bb=QBFpm8E1yIVoWdPgrFPv9F1OY3uuSQ0liDTi2jwkN-Fk4jTEhW7UjteTHRoLCEE4FEyEN7U3inOvAie_AheNQgzDGAriZYjhSsbWZlZ3byHrZO_94n-JAQ%3D%3D&xkcb=SoAf67M3_Po2MOwnAB0AbzkdCdPP&fccid=b4048be2884af072&vjs=3"
178,"Senior Staff Product Security Engineer (SSDL)","ServiceNow","Orlando, FL 32826",,"Be an advocate for security and participate in a security champions program.
10+ years of experience in software security (AppSec).","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=145fc135908ae9b8&bb=QBFpm8E1yIVoWdPgrFPv9OOc3k6iOp8vuhHDSXX-ku-w8uXLoHFtWJJ6G6--BPamP03NnAqcyz2nVqWyXQNJnRRiGWwYhw4_BvMtx9Hvuc2Pztx5tiVXjH-rdx5CndJQ&xkcb=SoCR67M3_Po2MOwnAB0HbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
179,"Network Engineers (Transitioning Military)","INflow Federal","Pensacola, FL",,"At INflow Federal, we're not just navigating the frontier of digital transformation; we're reshaping it.
Our dedication to merging the prowess of humans and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=3ab28d5a29051228&bb=QBFpm8E1yIVoWdPgrFPv9DnYG8COLn0NT0l7BwDJ79doBkMT96NWTh8f3tKDOGg2Ng1DPpQYZ0MeS6Y9gtJHrKxNhOWCJVtXJD6rlcE33CqcgXICC1R-6Y0DdD4Y1-FM&xkcb=SoAl67M3_Po2MOwnAB0GbzkdCdPP&fccid=05ad1ad310669ab9&vjs=3"
180,"Senior Staff Software Engineer | IAM | SailPoint IdentityIQ","ServiceNow","Orlando, FL 32826",,"Dedication to continuous improvement, security process engineering, and operational excellence.
Partner with cross-functional teams to assess and address…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=eb5dac1c3d7f2e61&bb=QBFpm8E1yIVoWdPgrFPv9Ij8rlM5-Ukz2gZpIlSU14MsXhX9HIdjVPrujK9EB_87R-riEssZZmGy6WdF5s65V-hj9VwWi_xYIXqnD6GhqW8BUnZ3kvzNoDe3bB1KghgZ&xkcb=SoC467M3_Po2MOwnAB0FbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
